Nazwa pytania,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Zakres struktury,Liczba punktów,Kategorie,Nazwa bloku,Źródło pytania,O co chcemy zapytać,Jaki ma związek z bezpieczeństwem,Status,Podmiot
W4(82),3809,Czy wolno Ci przejechać przez widoczne skrzyżowanie bez zatrzymania się w miejscu wskazanym linią?,,,,N,D16_01_org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4," § 89 ust.1 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31.07.2002r. w sprawie znaków i sygnałów drogowych (Dz.U. z 2002r. Nr 170, poz. 1393 ze. zm.) w odniesieniu do § 21 ust. 1 i 2 cytowanego rozporządzenia.","Znajomość wiedzy w zakresie znaczenia znaku poziomego P-12 ""linia bezwzględnego zatrzymania - stop"" oraz ograniczeń z tym związanych","Brak znajomości wiedzy o ograniczeniach wynikających ze znaczenia znaku poziomego P-12 ""linia bezwzględnego zatrzymania - stop"" może być przyczyną bezpośredniego zagrożenia bezpieczeństwa ruchu lub ruch ten utrudnić",Gotowe ostatecznie,PWPW
W4(83),3813,Czy linia złożona z prostokątów oznacza miejsce zatrzymania pojazdu przed przejściem dla pieszych?,,,,T,D16_05_org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,"§ 89 ust. 3 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, ze. zm.)","Znajomość wiedzy w zakresie znaczenia znaku poziomego P-14 ""linia warunkowego zatrzymania złożona z prostokątów"" oraz ograniczeń z tym związanych","Brak znajomości wiedzy o znaczeniu znaku poziomego P-14 ""linia warunkowego zatrzymania złożona z prostokątów"" oraz ograniczeń z tym związanych może być przyczyną utrudnienia ruch drogowego",Gotowe ostatecznie,PWPW
W4(84),3815,"Czy jadąc tym pasem ruchu, wolno Ci skręcić w lewo  na najbliższym skrzyżowaniu?",,,,T,MM_D14_02_org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,"§ 85 ust. 1 - 3 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393 ze. zm.)","Znajomość wiedzy w zakresie znaczenia znaków poziomych barwy białej i żółtej, w odniesieniu do różnicy wynikającej z ich barwy",Brak znajomości wiedzy o różnicy wynikającej z barwy znaków poziomych może mieć wpływ na bezpieczeństwo ruchu drogowego lub ruch ten utrudnić,Gotowe ostatecznie,PWPW
W7(46),3828,Zamierzasz jechać na wprost. Czy masz pierwszeństwo przed pojazdem nadjeżdżającym z prawej strony?,,,,N,KW_D22_406_org_2.mp4,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W7,"art. 5 i art. 25 ust. 1 ustawy z dnia 20 czerwca 1997 r. Prawo o ruchu drogowym (Dz. U. z 2012 r. poz. 1137, z późn. zm.), w związku z § 1 ust. 2 pkt 1 i § 43 ust. 1 i 2 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.)."".",O znajomość zasad pierwszeństwa na skrzyżowaniach oznaczonych znakiem D1 i tabliczką T6a.,"Brak znajomości zasad pierwszeństwa na skrzyżowaniach oznaczonych znakiem D1 i tabliczką T6a, doprowadzić może do stworzenia zagrożenia dla bezpieczeństwa ruchu drogowego.",Gotowe ostatecznie,PWPW
W8(36),3838,"Czy w tej sytuacji masz obowiązek ustąpić pierwszeństwa tramwajowi, którego motorniczy sygnalizuje zamiar skrętu w lewo?",,,,N,D23MMX_13org.mp4,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W8,"art. 5 i art. 25 ust. 1 i 2 ustawy z dnia 20 czerwca 1997 r. Prawo o ruchu drogowym (Dz. U. z 2012 r. poz. 1137, z późn. zm.) oraz  § 95 ust. 1 pkt 1 i ust. 4 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.","Znajomość wiedzy o ruchu pojazdów, w zakresie przecinania się kierunków ruchu na skrzyżowaniach z sygnalizacją świetlną oraz ograniczeniami z tym związanymi","Brak znajomości wiedzy o ruchu pojazdów, w zakresie przecinania się kierunków ruchu na skrzyżowaniach z sygnalizacją świetlną oraz ograniczeniami z tym związanymi może być przyczyną bezpośredniego zagrożenia bezpieczeństwa ruchu drogowego lub ruch ten utrudnić",Gotowe ostatecznie,PWPW
B6(32),3856,Jaki może być skutek zbyt słabego nacisku na pedał hamulca w samochodzie osobowym?,Wydłużenie drogi hamowania.,Zablokowanie kół.,Utrata sterowności.,A,,SPECJALISTYCZNY,2,B,B6,Podstawy działania układu hamulcowego i sposoby hamowania bez systemu ABS.,Skutki hamowania bez systemu ABS,zagrożenie na drodze,Gotowe ostatecznie,PWPW
B6(33),3857,Do czego może doprowadzić zbyt mocne hamowanie samochodu osobowego niewyposażonego w system ABS?,Do skrócenia o co najmniej połowę drogi hamowania.,Do utraty sterowności.,Do zniszczenia hamulców.,B,,SPECJALISTYCZNY,2,B,B6,Podstawy działania układu hamulcowego i sposoby hamowania bez ABS.,Skutki hamowania bez systemu ABS.,Zagrożenie na drodze.,Gotowe ostatecznie,PWPW
B6(34),3858,Który ze sposobów hamowania samochodu osobowego wyposażonego w system ABS jest najbardziej efektywny?,Pulsacyjne wciskanie pedału hamulca.,Szybkie i mocne wciśnięcie pedału hamulca.,"Wciśnięcie pedału sprzęgła, a następnie pedału hamulca.",B,,SPECJALISTYCZNY,2,B,B6,Podstawy działania układu hamulcowego i sposoby hamowania przy systemie ABS.,sposób hamowania pojazdem wyposażonym w system ABS,zagrożenie na drodze,Gotowe ostatecznie,PWPW
B6(35),3859,"Którą z czynności należy wykonać, gdy działający system ABS wypycha w czasie hamowania pedał hamulca?",Utrzymać siłę nacisku na pedał hamulca.,Zmniejszyć siłę nacisku na pedał hamulca.,Zwolnić pedał hamulca.,A,,SPECJALISTYCZNY,2,"B,B1",B6,Podstawy działania układu hamulcowego i sposoby hamowania przy systemie ABS.,sposób hamowania przy systemie ABS,zagrożenie na drodze,Gotowe ostatecznie,PWPW
B6(36),3860,W którym z przypadków system ABS może pomóc kierującemu pojazdem w utrzymaniu sterowności?,"Przy hamowaniu, gdy pojazd wpadł w boczny poślizg.",Wyłącznie podczas hamowania na prostym odcinku drogi.,Wyłącznie podczas hamowania na zakręcie.,A,,SPECJALISTYCZNY,2,"B,B1",B6,Podstawy działania systemu ABS.,Wpływ systemu ABS na zachowanie sterowności pojazdu,Zagrożenie na drodze.,Gotowe ostatecznie,PWPW
B6(37),3861,"Jaki efekt może wystąpić, gdy podczas ruszania na wzniesieniu zbyt wcześnie zwolnisz dźwignię hamulca awaryjnego, w porównaniu ze zwolnieniem pedału sprzęgła?",Unieruchomienie silnika.,Stoczenie się pojazdu.,Gwałtowne ruszenie.,B,,SPECJALISTYCZNY,2,B,B6,Podstawy działania układu napędowego i hamulcowego.,Skutki nieprawidłowego ruszenia na wzniesieniu,Zagrożenie na drodze.,Gotowe ostatecznie,PWPW
W1(39),3863,Czy w przedstawionej sytuacji odległość od znaku ostrzegawczego do miejsca niebezpiecznego wynosi do 100 metrów?,,,,T,1498D15org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W1,"§ 3 ust. 2 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm).",O odległość umieszczenia znaku ostrzegawczego A-20 od miejsca niebezpiecznego,Znajomość znaczenia znaków ostrzegawczych oraz odległości ich umieszczania od miejsc niebezpiecznych zwiększa możliwość uniknięcia niebezpieczeństwa.,Gotowe ostatecznie,PWPW
B9(28),3882,"Które z wymienionych działań należy podjąć, gdy w czasie jazdy zaświeci się na czerwono lampka kontrolna układu hamulcowego?","Zmniejszyć prędkość i czekać, aż lampka zgaśnie.",Zatrzymać pojazd i sprawdzić poziom płynu hamulcowego.,Kontynuować jazdę i zgłosić ten stan przy najbliższych badaniach okresowych pojazdu.,B,,SPECJALISTYCZNY,1,"B,B1",B9,"Instrukcja obsługi pojazdu wydana przez jego producenta i załącznik nr 1 do rozporządzenia Ministra Transportu, Budownictwa i Gospodarki Morskiej z dnia 13 lipca 2012 r. (poz. 1019).",Znajomość wiedzy w zakresie aspektów mechanicznych związanych z zachowaniem bezpieczeństwa na drodze,Używanie niesprawnego pojazdu zagraża bezpieczeństwu i porządku ruchu na drogach,Gotowe ostatecznie,PWPW
B9(31),3885,O czym ostrzega świecąca się na czerwono w czasie jazdy samochodem osobowym lampka kontrolna układu chłodzenia?,O zbyt wysokiej temperaturze płynu chłodniczego.,O zbyt niskiej temperaturze płynu chłodniczego.,O zbyt niskim poziomie płynu do spryskiwania szyby.,A,,SPECJALISTYCZNY,1,B,B9,"Instrukcja obsługi pojazdu wydana przez jego producenta i załącznik nr 1 do rozporządzenia Ministra Transportu, Budownictwa i Gospodarki Morskiej z dnia 13 lipca 2012 r. (poz. 1019).",Znajomość wiedzy w zakresie aspektów mechanicznych związanych z zachowaniem bezpieczeństwa na drodze,Używanie niesprawnego pojazdu zagraża bezpieczeństwu i porządku ruchu na drogach,Gotowe ostatecznie,PWPW
B9(35),3889,Która z wymienionych okoliczności może świadczyć o złym stanie technicznym samochodu osobowego?,Emisja bezbarwnych spalin.,Pozostawione na miejscu parkowania ślady wycieków płynów eksploatacyjnych.,Zaświecenie się na czerwono lampki kontrolnej ładowania akumulatora przed uruchomieniem silnika.,B,,SPECJALISTYCZNY,1,B,B9,"Art. 66 ust. 1 pkt 1 i 3 ustawy z dnia 20 czerwca 1997 r. - Prawo o ruchu drogowym (Dz.U. z 2005 r. Nr 108, poz. 908, z późn. zm.).",Znajomość wiedzy w zakresie aspektów mechanicznych związanych z zachowaniem bezpieczeństwa na drodze,Używanie niesprawnego pojazdu zagraża bezpieczeństwu i porządku ruchu na drogach,Gotowe ostatecznie,PWPW
B9(36),3890,Który z wymienionych przypadków może świadczyć o złym stanie technicznym samochodu osobowego?,Emisja czarnych lub niebieskich gęstych spalin.,Emisja bezbarwnych spalin.,Zaświecenie się na czerwono lampki kontrolnej ciśnienia oleju silnikowego przed uruchomieniem silnika.,A,,SPECJALISTYCZNY,1,B,B9,"Art. 66 ust. 1 pkt 1 i 3 ustawy z dnia 20 czerwca 1997 r. - Prawo o ruchu drogowym (Dz.U. z 2005 r. Nr 108, poz. 908, z późn. zm.).",Znajomość wiedzy w zakresie aspektów mechanicznych związanych z zachowaniem bezpieczeństwa na drodze,Używanie niesprawnego pojazdu zagraża bezpieczeństwu i porządku ruchu na drogach,Gotowe ostatecznie,PWPW
B9(37),3891,"W którym z wymienionych przypadków, używanie samochodu osobowego nie zagraża bezpieczeństwu ruchu drogowego?",Nadmiernie zużyte klocki lub tarcze hamulcowe.,Uszkodzone przednie amortyzatory.,"Krótkotrwałe użycie koła dojazdowego, gdy jedna z opon uległa uszkodzeniu.",C,,SPECJALISTYCZNY,1,B,B9,"Art. 66 ust. 1 pkt 1 ustawy z dnia 20 czerwca 1997 r. - Prawo o ruchu drogowym (Dz.U. z 2005 r. Nr 108, poz. 908, z późn. zm.).",Znajomość wiedzy w zakresie aspektów mechanicznych związanych z zachowaniem bezpieczeństwa na drodze,Używanie niesprawnego pojazdu zagraża bezpieczeństwu i porządku ruchu na drogach,Gotowe ostatecznie,PWPW
W1(40),3903,"Czy widoczny znak ostrzega o odcinku drogi, na którym należy zachować szczególną ostrożność ze względu na koleiny w nawierzchni?",,,,T,IMG_9243d8org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W1,"§ 11 ust. 1 i ust. 2 pkt 5 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm).",O znaczenie znaku ostrzegawczego A-30 z T-13,Znajomość znaczenia znaków ostrzegawczych zwiększa możliwość uniknięcia niebezpieczeństwa,Gotowe ostatecznie,PWPW
W1(41),3904,"Czy widoczny znak ostrzega o zbliżaniu się do skrzyżowania, na którym pierwszeństwo nie jest określone znakami drogowymi?",,,,T,A-5 (24)org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W1," § 5 ust. 1 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm).",O znajomość znaczenia znaku ostrzegawczego A-5,Niezastosowanie się do znaku A-5 rodzi poważne zagrożenia spowodowania wypadku drogowego.,Gotowe ostatecznie,PWPW
W1(42),3905,Czy w przedstawionej sytuacji odległość znaku ostrzegawczego od miejsca niebezpiecznego wynosi od 150 do 300 metrów?,,,,N,0449D18org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W1,"§ 3 ust. 2 oraz § 3 ust. 4 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm).",O odległość umieszczenia znaku ostrzegawczego A-6b z T-1 od miejsca niebezpiecznego,Znajomość znaków ostrzegawczych - możliwość uniknięcia niebezpieczeństwa,Gotowe ostatecznie,PWPW
W2(47),3906,"Czy w tej sytuacji wolno Ci wjechać na zwężony odcinek jezdni, jeżeli nie wymusza to na nadjeżdżającym z przeciwka konieczności zatrzymania się?",,,,T,IMG_6248d8.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W2,"§ 25 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm)",O znajomość wiedzy w zakresie znaczenia znaku B-31,Nieprzestrzeganie zakazu wyrażonego znakiem B-31 rodzi możliwość spowodowania wypadku drogowego.,Gotowe ostatecznie,PWPW
W2(48),3907,Czy w przedstawionej sytuacji masz obowiązek skręcić wyłącznie w prawo na najbliższym skrzyżowaniu?,,,,N,IMG_9448org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W2,"§ 35 ust. 1 pkt 8 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i  Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm)",O znajomość znaczenia znaku C-8,Nieznajomość znaczenia znaku nakazu C-8 może powodować utrudnienia ruchu.,Gotowe ostatecznie,PWPW
W3(26),3908,"Czy oznakowanie wskazuje, że droga, którą jedziesz jest podporządkowana?",,,,N,0874D14MMorgbm.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W3,"§ 43 ust.1  Rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31.07. 2002r.w sprawie znaków i sygnałów drogowych (Dz.U. z 2002r. Nr 170, poz. 1393 z późn. zm.)",Znajomość wiedzy w zakresie znaczenia znaku D-1.,"Brak znajomości znaczenia znaku D-1, może prowadzić do utrudnienia lub zagrożenia bezpieczeństwa ruchu na skrzyżowaniu.",Gotowe ostatecznie,PWPW
P14(8),3910,"Czy w tej sytuacji będziesz miał pierwszeństwo przed rowerzystą, gdy ten znajdzie się na przejeździe?",,,,N,227TRAM3org.jpg,PODSTAWOWY,3,PT,P14,art. 27 ust. 1 ustawy z 20 czerwca 1997 roku Prawo o ruchu drogowym (Dz. U. z 2012 r. poz. 1137 ze zm.),"Zznajomość zasad zachowania się na drodze, postępowanie wobec najbardziej narażonych uczestników ruchu.","Pieszy lub rowerzysta w kontakcie z wielotonowym tramwajem nie ma żadnych szans. Motorniczy musi znać i musi się stosować do przepisów, aby zapewnić im należyte bezpieczeństwo w ruchu drogowym.",Gotowe ostatecznie,PWPW
P6(7),3912,"Czy w tej sytuacji, skręcając w prawo możesz przyjąć, że nie wystąpi kolizja z innymi kierunkami ruchu?",,,,T,213TRAM3org.jpg,PODSTAWOWY,3,PT,P6,Rozp. MI w spr. znaków i sygnałów Dz.U.2002.170.1393 § 104-106,Znajomość sygnałów drogowych.,Nieprawidłowe zinterpretowanie sygnałów drogowych oraz pierwszeństwa z nich wynikających jest bardzo częstą przyczyną sytuacji niebezpiecznych i wypadków.,Gotowe ostatecznie,PWPW
P4(8),3913,Czy w tej sytuacji motorniczy jest zobowiązany ustąpić pierwszeństwa i zachować szczególną ostrożność?,,,,T,263KRAKOWorg.mp4,PODSTAWOWY,3,PT,P4,art. 17 ust. 1 pkt 4) ustawy Prawo o ruchu drogowym,znajomość zasad zachowania się na drodze,Włączanie się do ruchu związane jest z koniecznością zachowania szczególnej ostrożności oraz ustąpienia pierwszeństwa innym pojazdom lub uczestnikom ruchu.,Gotowe ostatecznie,PWPW
P4(9),3914,Czy w tej sytuacji samochód nadjeżdżający z prawej strony ma pierwszeństwo przejazdu?,,,,N,254TRAM1org.mp4,PODSTAWOWY,3,PT,P4,PRD art. 25 ust 2,przecinanie się kierunków ruchu,Znajomość zasad pierwszeństwa na skrzyżowaniach równorzędnych jest kluczowa dla bezkolizyjnej jazdy.,Gotowe ostatecznie,PWPW
P1(20),3917,"Czy znak ostrzegawczy ""oszronienie jezdni"" zobowiązuje motorniczego do zachowania szczególnej ostrożności?",,,,T,256TRAM3org.jpg,PODSTAWOWY,1,PT,P1,"§ 3 ust. 1 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz.1393, z późn. zm.)"".",znajomość znaków drogowych,"Nieznajomość znaków drogowych wpływa na niestosowanie się do nich, a to w konsekwencji może być przyczyną wypadku.",Gotowe ostatecznie,PWPW
P9(9),3923,Czy w tej sytuacji masz obowiązek sygnalizować zamiar skrętu w lewo?,,,,T,027TRAM3org.mp4,PODSTAWOWY,1,PT,P9,"Ustawa z dnia 20 czerwca 1997 r. Prawo o ruchu drogowym, dział II, rozdział 3, oddział 4, art. 22, ust. 5",zmiana kierunku jazdy,bezpieczeństwo w ruchu drogowym,Gotowe ostatecznie,PWPW
W5(18),3941,Czy w tej sytuacji nadawany sygnał świetlny zezwala Ci na wjazd za sygnalizator?,,,,N,313D12_a_org_światło.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,"§ 95 ust. 1 pkt 3 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.).",Znajomość znaczenia sygnałów świetlnych,Znajomość i stosowanie się do sygnałów świetlnych eliminuje sytuacje zagrażające bezpieczeństwu ruchu i utrudniające ten ruch.,Gotowe ostatecznie,PWPW
PD9(2),3943,"Jeśli tramwaj, wyposażony w hamulec szczękowy toczy się mimo wciśniętego hamulca i świecącej kontrolki hamulców postojowych, świadczyć to może o:",nadmiernej liczbie pasażerów w tramwaju.,zbyt małym napięciu ładowania akumulatorów.,zużyciu okładzin ciernych.,C,,SPECJALISTYCZNY,1,PT,PD9,ogólne zasady eksploatacji tramwaju,znajomość układu hamulcowego tramwaju,znajomość układu hamulcowego zapobiegnie nieumiejętnej eksploatacji i wypadkom z tym związanym,Gotowe ostatecznie,PWPW
PD3(1),3976,W jaki sposób kierujący tramwajem powinien hamować?,Wykorzystując za każdym razem hamulce szynowe.,W sposób niepowodujący zagrożenia bezpieczeństwa ruchu.,Wykorzystując za każdym razem piasecznicę.,B,,SPECJALISTYCZNY,3,PT,PD3,"Ustawa Art. 19.2.2)., ogólne zasady techniki kierowania tramwajem","znajomość wyposażenia tramwaju, znajomość zasad obowiązujących podczas postoju pojazdu","Motorniczy powinien znać rodzaje zastosowanych w tramwaju hamulców oraz sposób ich wykorzystania. Hamulce są najważniejszym elementem gwarantującym bezpieczeństwo motorniczego, pasażerów oraz innych uczestników ruchu",Gotowe ostatecznie,PWPW
PD4(32),3983,"Jak, kierując tramwajem, powinieneś zareagować, gdy warunki atmosferyczne ulegają pogorszeniu, np. pada deszcz lub opadają liście?","Powinienem zmniejszyć prędkość, dostosowując ją do panujących warunków.","Powinienem jechać z prędkością zbliżoną do maksymalnej, aby czas przejazdu był zgodny z czasem wskazanym w rozkładzie jazdy.","Nie powinienem zwracać na to uwagi, gdyż warunki atmosferyczne nie mają wpływu na jazdę tramwajem.",A,,SPECJALISTYCZNY,3,PT,PD4,ogólne zasady techniki kierowania tramwajem,znajomość zasad zachowania się kierującego tramwajem podczas jazdy,Nieznajomość lub niestosowanie się do zasad poruszania się wynikających z dopuszczalnych prędkości lub ograniczeń prędkości na drodze lub torowisku wydzielonym z jezdni może wpłynąć na możliwość wykolejenia tramwaju lub zwiększone skutki podczas wypadku,Gotowe ostatecznie,PWPW
P17(6),3991,Czy motorniczemu wolno podczas kierowania tramwajem korzystać z trzymanego w ręku telefonu komórkowego?,,,,N,,PODSTAWOWY,3,PT,P17,"Art. 45 ust. 2 pkt 1 ustawy z dnia 20 czerwca 1997 r. Prawo o ruchu drogowym (Dz. U. z 2012 r. poz. 1137, z późn. zm.)",używanie telefonu komórkowego w czasie prowadzenia tramwaju,rozmowa przez telefon komórkowy znacznie rozprasza uwagę kierującego pojazdem,Gotowe ostatecznie,PWPW
P17(7),3992,"Czy podczas kierowania tramwajem dozwolone jest korzystanie z telefonu komórkowego, jeśli nie wymaga to trzymania aparatu w ręku?",,,,T,,PODSTAWOWY,3,PT,P17,"Art. 45 ust. 2 pkt 1 ustawy z dnia 20 czerwca 1997 r. Prawo o ruchu drogowym (Dz. U. z 2012 r. poz. 1137, z późn. zm.)",używanie telefonu komórkowego w czasie prowadzenia tramwaju,rozmowa przez telefon komórkowy znacznie rozprasza uwagę kierującego pojazdem,Gotowe ostatecznie,PWPW
P16(9),3993,"Czy uczestnicząc w wypadku drogowym, w którym są ranni, masz obowiązek niezwłocznie zatrzymać tramwaj, nie powodując przy tym zagrożenia?",,,,T,,PODSTAWOWY,2,PT,P16,PRD Art. 44  pkt. 1 ust.1,w sytuacji kiedy dochodzi do wypadku z udziałem tramwaju bardzo ważne jest aby zabezpieczyć właściwie tramwaj oraz miejsce wypadku,w sytuacji kiedy dochodzi do wypadku z udziałem tramwaju bardzo ważne jest aby zapezpieczyć właściwie tramwaj oraz miejsce wypadku,Gotowe ostatecznie,PWPW
P16(10),3994,"Czy masz obowiązek, o ile to możliwe, usunąć tramwaj z miejsca wypadku, w którym nie ma rannych, ani zabitych.?",,,,T,,PODSTAWOWY,2,PT,P16,"Ustawa z dnia 20 czerwca 1997 r. Prawo o ruchu drogowym, dział II, rozdział 5, oddział 1, art. 44, ust. 1, pkt 3",zachowanie w momencie wypadku,bezpieczeństwo ruchu drogowego,Gotowe ostatecznie,PWPW
P16(11),3995,"Czy uczestnicząc w wypadku, masz obowiązek podać swoje dane personalne na żądanie pasażera, który także uczestniczył w zdarzeniu?",,,,T,,PODSTAWOWY,2,PT,P16,PRD Art. 44  pkt. 1 ust.4,znajomość postępowania w razie wypadku,obowiązki kierującego w razie uczestniczenia w wypadku,Gotowe ostatecznie,PWPW
P16(12),3996,"Czy uczestnicząc w wypadku drogowym, masz obowiązek powiadomić policję, jeśli w wypadku nie ma zabitych lub rannych?",,,,N,,PODSTAWOWY,2,PT,P16,art. 44 ust. 1 ustawy z 20 czerwca 1997 roku Prawo o ruchu drogowym (Dz. U. z 2012 r. poz. 1137 ze zm.),znajomość postępowania w razie wypadku,obowiązki kierującego w razie uczestniczenia w wypadku,Gotowe ostatecznie,PWPW
P16(13),3997,"Czy uczestnicząc w wypadku drogowym, masz obowiązek powiadomić policję i wezwać zespół ratownictwa medycznego, jeśli w wypadku są osoby zabite lub ranne?",,,,T,,PODSTAWOWY,2,PT,P16,art. 44 ust. 2 pkt 1) ustawy z 20 czerwca 1997 roku Prawo o ruchu drogowym (Dz. U. z 2012 r. poz. 1137 ze zm.),znajomość postępowania w razie wypadku,obowiązki kierującego w razie uczestniczenia w wypadku,Gotowe ostatecznie,PWPW
W13(21),3998,"Czy w tej sytuacji masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z przeciwka, zanim wykonasz manewr omijania?",,,,T,AK_D16_01_org_2.mp4,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W13,art. 23 ust. 1 pkt 2) ustawy z 20 czerwca 1997 roku Prawo o ruchu drogowym (Dz. U. z 2012 r. poz. 1137 ze zm.),Znajomość wiedzy w zakresie zasad wykonywania manewru omijania,"Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia",Gotowe ostatecznie,PWPW
W5(19),3999,Czy w tej sytuacji następnym sygnałem będzie sygnał czerwony?,,,,T,091D15_a_org_swiatlo.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,"§ 95 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.).",Znajomość wiedzy w zakresie sygnalizacji świetlnej,"Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia",Gotowe ostatecznie,PWPW
W5(20),4000,Czy w tej sytuacji następnym sygnałem będzie sygnał zielony?,,,,N,091D15_a_org_swiatlo.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,"§ 95 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.).",Znajomość wiedzy w zakresie sygnalizacji świetlnej,"Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia",Gotowe ostatecznie,PWPW
W8(37),4001,"Czy w tej sytuacji, podczas zawracania wystąpi kolizja z innymi uczestnikami ruchu?",,,,N,117D16_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W8,"art. 5 i art. 25 ust. 1 ustawy z dnia 20 czerwca 1997 r. Prawo o ruchu drogowym (Dz. U. z 2012 r. poz. 1137, z późn. zm.) oraz § 97 ust. 1-3 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.)",Znajomość wiedzy w zakresie zasad pierwszeństwa przejazdu pojazdów oraz ograniczeń z tym związanych,Niestosowanie się do zasad pierwszeństwa przejazdu na skrzyżowaniach z sygnalizacją świetlną może bezpośrednio zagrażać zdrowiu lub życiu uczestników ruchu lub ruch ten utrudnić,Gotowe ostatecznie,PWPW
